delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.571400,0.814596,0.990591,0.829436,0.918025
0.416666,0.586200,0.845401,0.994861,0.857470,0.931970
0.833333,0.633800,0.874315,0.997374,0.884695,0.945537
1.250000,0.675400,0.898389,0.998794,0.906517,0.956845
1.666666,0.701200,0.919280,0.999389,0.925922,0.967167
2.083333,0.747000,0.937296,0.999705,0.941819,0.975474
2.500000,0.771800,0.951497,0.999834,0.954562,0.981219
2.916666,0.801200,0.963292,0.999877,0.965562,0.986540
3.333333,0.828800,0.971497,0.999914,0.973543,0.989950
3.750000,0.853400,0.979104,0.999930,0.980499,0.993255
4.166666,0.886400,0.984079,0.999952,0.985518,0.995680
4.583333,0.900000,0.988268,0.999984,0.989329,0.996847
5.000000,0.926200,0.991435,0.999989,0.992266,0.998196
5.416666,0.930000,0.993483,0.999989,0.994045,0.998848
5.833333,0.940800,0.994879,0.999989,0.995324,0.999348
6.250000,0.955200,0.995791,0.999989,0.996168,0.999545
6.666666,0.959400,0.996572,0.999989,0.996750,0.999712
7.083333,0.965600,0.997067,0.999995,0.997144,0.999788
7.500000,0.971600,0.997468,0.999995,0.997407,0.999818
7.916666,0.975000,0.997723,0.999995,0.997644,0.999879
8.333333,0.976200,0.997979,1.000000,0.997842,0.999894
8.750000,0.978800,0.998156,1.000000,0.997973,0.999924
9.166666,0.977200,0.998333,1.000000,0.998170,0.999939
9.583333,0.982400,0.998494,1.000000,0.998281,0.999939
10.000000,0.984600,0.998583,1.000000,0.998388,0.999955
10.416666,0.985400,0.998677,1.000000,0.998489,0.999985
10.833333,0.989400,0.998802,1.000000,0.998575,0.999985
11.250000,0.986000,0.998958,1.000000,0.998630,0.999985
11.666666,0.988600,0.999083,1.000000,0.998696,0.999985
12.083333,0.990000,0.999177,1.000000,0.998746,0.999985
12.500000,0.991800,0.999250,1.000000,0.998787,0.999985
12.916666,0.991400,0.999323,1.000000,0.998848,0.999985
13.333333,0.991800,0.999380,1.000000,0.998888,0.999985
13.750000,0.993000,0.999469,1.000000,0.998923,0.999985
14.166666,0.991000,0.999531,1.000000,0.998979,0.999985
14.583333,0.993200,0.999568,1.000000,0.999019,0.999985
15.000000,0.994400,0.999604,1.000000,0.999070,0.999985
15.416666,0.992000,0.999630,1.000000,0.999131,0.999985
15.833333,0.996000,0.999651,1.000000,0.999186,0.999985
16.250000,0.994800,0.999672,1.000000,0.999227,0.999985
16.666666,0.996200,0.999693,1.000000,0.999267,0.999985
17.083333,0.996200,0.999724,1.000000,0.999323,0.999985
17.500000,0.996800,0.999734,1.000000,0.999378,0.999985
17.916666,0.996000,0.999755,1.000000,0.999429,0.999985
18.333333,0.997600,0.999760,1.000000,0.999484,0.999985
18.750000,0.996800,0.999766,1.000000,0.999520,0.999985
19.166666,0.996800,0.999771,1.000000,0.999560,0.999985
19.583333,0.996800,0.999786,1.000000,0.999596,0.999985
20.000000,0.997800,0.999812,1.000000,0.999636,0.999985
20.416666,0.997400,0.999818,1.000000,0.999671,0.999985
20.833333,0.996200,0.999818,1.000000,0.999682,0.999985
21.250000,0.998000,0.999828,1.000000,0.999732,0.999985
21.666666,0.997600,0.999838,1.000000,0.999778,0.999985
22.083333,0.996400,0.999865,1.000000,0.999803,0.999985
22.500000,0.998000,0.999865,1.000000,0.999838,0.999985
22.916666,0.998600,0.999875,1.000000,0.999874,0.999985
23.333333,0.998400,0.999896,1.000000,0.999889,0.999985
23.750000,0.999000,0.999906,1.000000,0.999914,0.999985
24.166666,0.998200,0.999922,1.000000,0.999924,0.999985
24.583333,0.997800,0.999922,1.000000,0.999934,0.999985
25.000000,0.998000,0.999937,1.000000,0.999960,1.000000
