delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.914589,0.928680,0.917834
2.000000,0.965278,0.978597,0.965832
4.000000,0.979172,0.992311,0.978922
6.000000,0.983343,0.995075,0.982631
8.000000,0.986627,0.997511,0.985851
10.000000,0.989091,0.998625,0.988514
12.000000,0.991072,0.999227,0.990726
14.000000,0.992427,0.999528,0.992382
16.000000,0.994109,0.999751,0.993747
18.000000,0.995217,0.999804,0.994807
20.000000,0.996012,0.999843,0.995641
22.000000,0.996950,0.999869,0.996304
24.000000,0.997576,0.999895,0.997006
26.000000,0.998006,0.999908,0.997562
28.000000,0.998371,0.999908,0.997973
30.000000,0.998618,0.999908,0.998317
32.000000,0.998892,0.999908,0.998569
34.000000,0.998983,0.999908,0.998728
36.000000,0.999140,0.999908,0.998834
38.000000,0.999257,0.999908,0.998953
40.000000,0.999322,0.999908,0.999139
42.000000,0.999400,0.999921,0.999232
44.000000,0.999466,0.999921,0.999338
46.000000,0.999544,0.999921,0.999391
48.000000,0.999609,0.999921,0.999444
50.000000,0.999661,0.999921,0.999550
52.000000,0.999687,0.999921,0.999589
54.000000,0.999726,0.999921,0.999629
56.000000,0.999765,0.999921,0.999669
58.000000,0.999791,0.999921,0.999682
60.000000,0.999804,0.999921,0.999695
62.000000,0.999831,0.999921,0.999722
64.000000,0.999844,0.999921,0.999748
66.000000,0.999844,0.999921,0.999762
68.000000,0.999844,0.999921,0.999762
70.000000,0.999844,0.999921,0.999762
72.000000,0.999844,0.999921,0.999788
74.000000,0.999844,0.999921,0.999788
76.000000,0.999844,0.999921,0.999801
78.000000,0.999844,0.999921,0.999815
80.000000,0.999844,0.999921,0.999815
